"type","location","37292","37291","37290","37289","37288","37287","37286","37285","37284","37283","37282","37281","37280","37279","37278","37277","37276","37275","37274","37273","37272","37271","37270","37269","37268","37267","37266","37265","37264","37263","37262","37261","37260","37259","37258","37257","37256","37255","37254","37253","37252","37251","37250","37249","37248","37247","37246","37245","37244","37243","37242","37241","37240","37239","37238","37237","37236","37235","37234","37233","37232","37231","37230","37229","37228","37227","37226","37225","37224","37223","37222","37221","37220","37219","37218","37217","37216","37215","37214","37213","37212","37211","37210","37209","37208","37207","37206","37205","37204","37203","37202","37201","37200","37199","37198","37197","37196","37195","37194","37193","37192","37191","37190","37189","37188","37187","37186","37185","37184","37183","37182","37181","37180","37179","37178","37177","37176","37175","37174","37173","37172","37171","37170","37169","37168","37167","37166","37165","37164","37163","37162","37161","37160","37159","37158","37157","37156","37155","37154","37153","37152","37151","37150","37149","37148","37147","37146","37145","37144","37143","37142","37141","37140","37139","37138","37137","37136","37135"
"Receipts HH","ACADIAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"BRIDGELINE","7000","7000","7000","7000","0","714","714","714","2714","2714","2714","714","12714","7714","8714","8714","8714","8714","40000","0","31000","0","0","0","0","20000","23000","44423","28500","28500","28500","28500","16000","16000","9000","0","0","0","0","21731","21731","21731","21731","21731","21731","21731","36381","12839","2631","11066","11066","11066","11066","11010","26559","11010","0","0","0","0","54500","0","0","0","80000","80000","80000","80000","80000","67071","32749","32749","32749","32749","80000","80000","80000","80000","80000","80000","80000","53638","53638","72715","80000","2700","2700","2700","80000","80000","59165","0","0","0","0","0","8213","80000","22123","22123","50000","50000","61122","8000","80000","80000","0","20000","20000","20000","1000","0","7663","7663","27100","27100","27100","44831","12500","0","40000","40000","40000","60000","13818","0","80000","80000","80000","80000","19000","80000","36000","75547","75547","17051","17051","17051","14000","0","0","0","0","0","0","0","0","0","0","78625","78625","78625","2750","73511","10735","0","0","0"
NA,"COLUMBIA GULF","0","0","0","0","30206","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","1","68","5","5","5","5","0","0","0","0","0","0","0","0","5000","7000","55","55","55","55","28555","44973","11929","9850","9850","9850","9850","0","1013","2","1102","22054","22054","22054","3051","3051","20003","10001","10001","10001","10001","0","0","5","1","1","1","1","3","3","2502","1","32004","32004","32004","10002","10002","4","22202","22202","22202","22202","10018","1","1","1","1","10001","10001","2965","1","8350","8350","17501","20001","20001","20001","1","1","1","1","1","1","1","1","45001","7","1","1","1","17143","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7572","7572","7572","7572","0","0","0","0","99303","0","0","0","0","0","18331","37","37","37"
NA,"DIGCO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"JEFFERSON ISLAND","7500","7500","7500","7500","242501","201935","148085","148085","1000","1000","1000","0","7500","5000","7500","7500","7500","7500","7500","0","0","0","0","0","0","14500","224700","74828","250000","250000","250000","250000","147232","147232","3000","28324","28324","28324","28324","7500","7500","7500","7500","7500","7500","7500","7500","25079","27024","25579","25579","25579","25579","0","0","3541","0","0","0","0","7000","0","0","26158","101923","101923","101923","18000","18000","0","0","0","0","0","22500","22500","7500","5000","5000","5000","5000","0","0","3000","4000","15000","15000","15000","3200","3200","0","0","0","0","0","0","129386","0","0","0","7500","7500","0","123197","0","0","222641","17500","17500","17500","99026","0","0","0","7500","7500","7500","7500","2000","0","7500","7500","7500","7500","119019","0","0","0","0","0","77806","101720","163201","0","0","78401","78401","78401","134630","0","0","0","0","0","59953","5001","5001","5001","0","0","0","0","0","82501","0","22000","22000","22000"
NA,"GULF SOUTH","75634","75634","75634","75634","29317","59067","30987","30987","36513","36513","36513","25906","60147","115683","111402","111402","111402","111402","62415","118418","101618","71050","71050","71050","71050","66050","76834","145747","94754","94754","94754","94754","66476","66476","92789","44166","44166","44166","44166","49082","49082","49082","49082","49082","49082","49082","47582","54641","138843","146345","146345","146345","146345","175349","142192","151709","73301","73301","73301","73301","51497","371331","129701","98689","134384","134384","134384","147574","147574","275945","132418","132418","132418","132418","86169","86169","60368","73575","73575","73575","73575","86794","86794","66098","73397","117196","117196","117196","61531","61531","58231","89161","89161","89161","89161","81445","87494","159715","103528","103528","224786","224786","221214","151384","81634","81634","68313","277219","277219","277219","337722","154032","209782","209782","161069","161069","161069","104260","75113","88113","88651","88651","88651","99103","65495","47187","83616","83616","83616","83616","72625","72625","74593","96252","96252","76569","76569","76569","73733","81273","87143","87143","87143","87143","88143","88773","100581","100581","103704","60538","60538","60538","56857","87830","137150","70073","70073","70073"
NA,"MAINLINE","100733","100733","100733","100733","123760","66444","119220","119220","118188","118188","118188","167627","172530","147527","157156","157156","157156","157156","170256","146893","119640","160558","160558","160558","160558","128108","28963","26692","35096","35096","35096","35096","77447","77447","178432","180000","180000","180000","180000","167753","167753","167753","167753","167753","167753","167753","90253","149154","115248","129422","129422","129422","129422","180000","180000","180000","78719","78719","78719","78719","180000","180000","167549","173488","137752","137752","137752","109362","109362","180000","177825","177825","177825","177825","107106","107106","128087","171000","171000","171000","171000","180000","180000","93924","120571","82563","82563","82563","116530","116530","107143","180000","180000","180000","180000","142563","31000","0","79055","79055","96986","96986","65760","91490","95652","95652","90953","90289","90289","90289","106089","98690","180000","180000","156606","156606","156606","110606","150388","112207","150150","150150","150150","154650","141610","156149","129684","129684","129684","129684","98757","94024","108093","94746","94746","119701","119701","119701","103317","151349","122100","122100","122100","122100","163326","101378","101378","101378","127210","108133","108133","108133","180000","142418","179375","110010","110010","110010"
NA,"NGPL","105538","105538","105538","105538","39182","78771","39196","39196","256338","256338","256338","207066","200000","200000","104436","104436","104436","104436","140964","177797","200000","126681","126681","126681","126681","116980","95885","118486","117753","117753","117753","117753","147398","147398","200000","74382","74382","74382","74382","200000","200000","200000","200000","200000","200000","200000","200000","56660","128994","61929","61929","61929","61929","32211","11967","131858","200000","200000","200000","200000","19976","21022","56474","13248","86171","86171","86171","57915","57915","32915","128852","128852","128852","128852","200000","200000","191020","200000","200000","200000","200000","200000","200000","200000","200000","200000","200000","200000","154372","154372","200000","123373","123373","123373","123373","150145","99645","106344","200000","200000","177276","177276","48785","3713","36235","36235","68273","32747","32747","32747","25981","130288","59338","59338","27531","27531","27531","69473","99446","200000","90090","90090","90090","154372","593","153958","30198","30198","30198","30198","27198","43495","98496","8975","8975","35501","35501","35501","58029","53523","78791","78791","78791","78791","38751","83819","83819","83819","92532","64533","64533","64533","63333","7791","100191","103543","103543","103543"
NA,"SONAT","5000","5000","5000","5000","0","87","0","0","0","0","0","0","0","899","0","0","0","0","19970","0","9977","0","0","0","0","5909","6005","6003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
