location,date,deliveries,receipts
ACADIAN,2001-09-01,-45374,0
ACADIAN,2001-09-02,-45374,0
ACADIAN,2001-09-03,-45374,0
ACADIAN,2001-09-04,0,0
ACADIAN,2001-09-05,-30264,0
ACADIAN,2001-09-06,-41047,0
ACADIAN,2001-09-07,-50796,0
ACADIAN,2001-09-08,-50796,0
ACADIAN,2001-09-09,-50796,0
ACADIAN,2001-09-10,-30000,0
ACADIAN,2001-09-11,-43000,0
ACADIAN,2001-09-12,-43000,0
ACADIAN,2001-09-13,-43000,0
ACADIAN,2001-09-14,-66071,0
ACADIAN,2001-09-15,-47201,0
ACADIAN,2001-09-16,-47201,0
ACADIAN,2001-09-17,-47201,0
ACADIAN,2001-09-18,-47201,0
ACADIAN,2001-09-19,-37425,0
ACADIAN,2001-09-20,-55437,0
ACADIAN,2001-09-21,-45474,0
ACADIAN,2001-09-22,-45474,0
ACADIAN,2001-09-23,-45474,0
ACADIAN,2001-09-24,-21274,0
ACADIAN,2001-09-25,-21274,0
ACADIAN,2001-09-26,-35474,0
ACADIAN,2001-09-27,-15974,0
ACADIAN,2001-09-28,-20474,0
ACADIAN,2001-09-29,0,0
ACADIAN,2001-09-30,0,0
ACADIAN,2001-10-01,0,0
ACADIAN,2001-10-02,0,0
ACADIAN,2001-10-03,-25019,0
ACADIAN,2001-10-04,-21019,0
ACADIAN,2001-10-05,0,0
ACADIAN,2001-10-06,-10274,0
ACADIAN,2001-10-07,-10274,0
ACADIAN,2001-10-08,-10274,0
ACADIAN,2001-10-09,-6606,0
ACADIAN,2001-10-10,0,0
ACADIAN,2001-10-11,0,0
ACADIAN,2001-10-12,-10129,0
ACADIAN,2001-10-13,-10129,0
ACADIAN,2001-10-14,-10129,0
ACADIAN,2001-10-15,0,0
ACADIAN,2001-10-16,0,0
ACADIAN,2001-10-17,-37629,0
ACADIAN,2001-10-18,-14225,0
ACADIAN,2001-10-19,-14629,0
ACADIAN,2001-10-20,-14629,0
ACADIAN,2001-10-21,-14629,0
ACADIAN,2001-10-22,-36129,0
ACADIAN,2001-10-23,-34629,0
ACADIAN,2001-10-24,-34629,0
ACADIAN,2001-10-25,-34629,0
ACADIAN,2001-10-26,-34629,0
ACADIAN,2001-10-27,-44629,0
ACADIAN,2001-10-28,-44629,0
ACADIAN,2001-10-29,-27629,0
ACADIAN,2001-10-30,-27629,0
ACADIAN,2001-10-31,-32629,0
ACADIAN,2001-11-01,-1,0
ACADIAN,2001-11-02,0,0
ACADIAN,2001-11-03,0,0
ACADIAN,2001-11-04,0,0
ACADIAN,2001-11-05,0,0
ACADIAN,2001-11-06,0,0
ACADIAN,2001-11-07,-51129,0
ACADIAN,2001-11-08,-65500,0
ACADIAN,2001-11-09,-65500,0
ACADIAN,2001-11-10,-37028,0
ACADIAN,2001-11-11,-37028,0
ACADIAN,2001-11-12,-37028,0
ACADIAN,2001-11-13,-17809,0
ACADIAN,2001-11-14,-5257,0
ACADIAN,2001-11-15,-40000,0
ACADIAN,2001-11-16,-40000,0
ACADIAN,2001-11-17,-45500,0
ACADIAN,2001-11-18,-45500,0
ACADIAN,2001-11-19,-45500,0
ACADIAN,2001-11-20,-45500,0
ACADIAN,2001-11-21,-11379,0
ACADIAN,2001-11-22,-8256,0
ACADIAN,2001-11-23,-8256,0
ACADIAN,2001-11-24,0,0
ACADIAN,2001-11-25,0,0
ACADIAN,2001-11-26,0,0
ACADIAN,2001-11-27,0,0
ACADIAN,2001-11-28,0,0
ACADIAN,2001-11-29,-797,0
ACADIAN,2001-11-30,-797,0
ACADIAN,2001-12-01,0,0
ACADIAN,2001-12-02,0,0
ACADIAN,2001-12-03,0,0
ACADIAN,2001-12-04,0,0
ACADIAN,2001-12-05,-2730,0
ACADIAN,2001-12-06,-13049,0
ACADIAN,2001-12-07,-672,0
ACADIAN,2001-12-08,0,0
ACADIAN,2001-12-09,0,0
ACADIAN,2001-12-10,0,0
ACADIAN,2001-12-11,0,0
ACADIAN,2001-12-12,-5266,0
ACADIAN,2001-12-13,0,0
ACADIAN,2001-12-14,0,0
ACADIAN,2001-12-15,0,0
ACADIAN,2001-12-16,0,0
ACADIAN,2001-12-17,0,0
ACADIAN,2001-12-18,0,0
ACADIAN,2001-12-19,0,0
ACADIAN,2001-12-20,0,0
ACADIAN,2001-12-21,-35748,0
ACADIAN,2001-12-22,0,0
ACADIAN,2001-12-23,0,0
ACADIAN,2001-12-24,0,0
ACADIAN,2001-12-25,0,0
ACADIAN,2001-12-26,0,0
ACADIAN,2001-12-27,0,0
ACADIAN,2001-12-28,0,0
ACADIAN,2001-12-29,-36234,0
ACADIAN,2001-12-30,-36234,0
ACADIAN,2001-12-31,-36234,0
ACADIAN,2002-01-01,-36234,0
ACADIAN,2002-01-02,-59355,0
ACADIAN,2002-01-03,-96421,0
ACADIAN,2002-01-04,-96421,0
ACADIAN,2002-01-05,-98824,0
ACADIAN,2002-01-06,-98824,0
ACADIAN,2002-01-07,-98824,0
ACADIAN,2002-01-08,-98824,0
ACADIAN,2002-01-09,-66323,0
ACADIAN,2002-01-10,-96323,0
ACADIAN,2002-01-11,-61323,0
ACADIAN,2002-01-12,-13323,0
ACADIAN,2002-01-13,-13323,0
ACADIAN,2002-01-14,-13323,0
ACADIAN,2002-01-15,-13323,0
ACADIAN,2002-01-16,0,0
ACADIAN,2002-01-17,-17823,0
ACADIAN,2002-01-18,-16323,0
ACADIAN,2002-01-19,-21323,0
ACADIAN,2002-01-20,-21323,0
ACADIAN,2002-01-21,-21323,0
ACADIAN,2002-01-22,-21323,0
ACADIAN,2002-01-23,-9323,0
ACADIAN,2002-01-24,0,0
ACADIAN,2002-01-25,0,0
ACADIAN,2002-01-26,0,0
ACADIAN,2002-01-27,0,0
ACADIAN,2002-01-28,0,0
ACADIAN,2002-01-29,-30018,0
ACADIAN,2002-01-30,-30018,0
ACADIAN,2002-01-31,-51963,0
ACADIAN,2002-02-01,0,0
ACADIAN,2002-02-02,-25877,0
ACADIAN,2002-02-03,-25877,0
ACADIAN,2002-02-04,-25877,0
ACADIAN,2002-02-05,-25877,0
BRIDGELINE,2001-09-01,-85000,0
BRIDGELINE,2001-09-02,-85000,0
BRIDGELINE,2001-09-03,-85000,0
BRIDGELINE,2001-09-04,-85000,10735
BRIDGELINE,2001-09-05,-85000,73511
BRIDGELINE,2001-09-06,-85000,2750
BRIDGELINE,2001-09-07,-85000,78625
BRIDGELINE,2001-09-08,-85000,78625
BRIDGELINE,2001-09-09,-85000,78625
BRIDGELINE,2001-09-10,-85000,0
BRIDGELINE,2001-09-11,-85000,0
BRIDGELINE,2001-09-12,-85000,0
BRIDGELINE,2001-09-13,-85000,0
BRIDGELINE,2001-09-14,-85000,0
BRIDGELINE,2001-09-15,-85000,0
BRIDGELINE,2001-09-16,-85000,0
BRIDGELINE,2001-09-17,-85000,0
BRIDGELINE,2001-09-18,-85000,0
BRIDGELINE,2001-09-19,-85000,0
BRIDGELINE,2001-09-20,-85000,14000
BRIDGELINE,2001-09-21,-85000,17051
BRIDGELINE,2001-09-22,-85000,17051
BRIDGELINE,2001-09-23,-85000,17051
BRIDGELINE,2001-09-24,-85000,75547
BRIDGELINE,2001-09-25,-85000,75547
BRIDGELINE,2001-09-26,-85000,36000
BRIDGELINE,2001-09-27,-85000,80000
BRIDGELINE,2001-09-28,-85000,19000
BRIDGELINE,2001-09-29,-85000,80000
BRIDGELINE,2001-09-30,-85000,80000
BRIDGELINE,2001-10-01,-85000,80000
BRIDGELINE,2001-10-02,-85000,80000
BRIDGELINE,2001-10-03,-85000,0
